1,0.011
2,0.013
3,0.015
4,0.016
5,0.018
6,0.018
7,0.019
8,0.020
9,0.021
10,0.022
11,0.024
12,0.025
13,0.027
14,0.030
15,0.032
16,0.035
17,0.038
18,0.042
19,0.046
20,0.050
